Tag,Excerpt,Wiki
tcp,"TCP stands for Transmission Control Protocol and is one of the core protocols of the Internet Protocol Suite. TCP complements the Internet Protocol (IP), and therefore the entire suite is commonly referred to as TCP/IP.","<p>TCP is just one communications protocol on the web. Others include:</p>

<ul>
<li>User Datagram Protocol (UDP) <a href=""/questions/tagged/udp"" class=""post-tag"" title=""show questions tagged &#39;udp&#39;"" rel=""tag"">udp</a></li>
<li>Internet Control Message Protocol (ICMP) <a href=""/questions/tagged/icmp"" class=""post-tag"" title=""show questions tagged &#39;icmp&#39;"" rel=""tag"">icmp</a></li>
<li>Hypertext Transfer Protocol (HTTP) <a href=""/questions/tagged/http"" class=""post-tag"" title=""show questions tagged &#39;http&#39;"" rel=""tag"">http</a></li>
<li>Post Office Protocol (POP3) <a href=""/questions/tagged/pop3"" class=""post-tag"" title=""show questions tagged &#39;pop3&#39;"" rel=""tag"">pop3</a></li>
<li>File Transfer Protocol (FTP) <a href=""/questions/tagged/ftp"" class=""post-tag"" title=""show questions tagged &#39;ftp&#39;"" rel=""tag"">ftp</a></li>
<li>Internet Message Access Protocol (IMAP) <a href=""/questions/tagged/imap"" class=""post-tag"" title=""show questions tagged &#39;imap&#39;"" rel=""tag"">imap</a></li>
</ul>

<p><a href=""http://en.wikipedia.org/wiki/Transmission_Control_Protocol"" rel=""nofollow noreferrer"">TCP on Wikipedia</a></p>
"
check-disk,,
gui,Questions related to Graphical User Interfaces. ,
jailbreak,"*Jailbreaking* is mainly the term used for the process of ""freeing"" an iOS device from its restrictions",
data-recovery,"This tag is for questions about techniques for recovering lost data — e.g., from deleted files and/or damaged or corrupted digital media. Please review the tag wiki before posting a question. Do not explicitly ask for tools or other products; such questions are off-topic on Super User.","<p>Data Recovery is the process in which data lost, deleted, or corrupted can be recovered.</p>

<p>There are a few general techniques and popular tools for data recovery. 
Before asking a question,
please review the frequently asked questions on the topic:</p>

<ul>
<li><a href=""https://superuser.com/questions/241817/how-do-i-recover-lost-inaccessible-data-from-my-storage-device"">How do I recover lost/inaccessible data from my storage device?</a></li>
<li><a href=""https://superuser.com/questions/871850/usb-flash-drive-not-working-or-is-appearing-as-an-empty-disk-drive-disk-managem"">USB flash drive not working or is appearing as an empty disk drive, Disk Management reports &quot;No Media&quot; with 0 bytes size</a></li>
<li><a href=""https://superuser.com/questions/449550/how-do-i-recover-or-undelete-files-that-i-accidentally-deleted"">How do I recover or &quot;undelete&quot; files that I accidentally deleted?</a></li>
</ul>

<p>or check for <a href=""https://superuser.com/questions/tagged/data-recovery+community-faq?sort=votes"">other FAQs</a>. 
Here are some other questions that may be useful:</p>

<ul>
<li><a href=""https://superuser.com/questions/40058/recover-data-from-sd-card"">Recover data from SD card</a></li>
<li><a href=""https://superuser.com/questions/178028/recover-files-from-deleted-partition"">Recover files from deleted partition</a></li>
</ul>

<p>See also <a href=""https://superuser.com/questions/tagged/data-recovery?sort=frequent"">this link</a> for other frequently referenced questions.</p>

<p>See also</p>

<ul>
<li><a href=""/questions/tagged/hard-drive-recovery"" class=""post-tag"" title=""show questions tagged &#39;hard-drive-recovery&#39;"" rel=""tag"">hard-drive-recovery</a>,</li>
<li><a href=""/questions/tagged/file-recovery"" class=""post-tag"" title=""show questions tagged &#39;file-recovery&#39;"" rel=""tag"">file-recovery</a>,</li>
<li><a href=""/questions/tagged/partition-recovery"" class=""post-tag"" title=""show questions tagged &#39;partition-recovery&#39;"" rel=""tag"">partition-recovery</a>,</li>
<li><a href=""/questions/tagged/system-recovery"" class=""post-tag"" title=""show questions tagged &#39;system-recovery&#39;"" rel=""tag"">system-recovery</a>,</li>
<li><a href=""/questions/tagged/forensics"" class=""post-tag"" title=""show questions tagged &#39;forensics&#39;"" rel=""tag"">forensics</a>,
as many data recovery techniques are shared with computer forensics, and</li>
<li><a href=""/questions/tagged/system-restore"" class=""post-tag"" title=""show questions tagged &#39;system-restore&#39;"" rel=""tag"">system-restore</a>.</li>
</ul>

<p>Other potentially related tags include <a href=""/questions/tagged/storage"" class=""post-tag"" title=""show questions tagged &#39;storage&#39;"" rel=""tag"">storage</a>,
<a href=""/questions/tagged/hard-drive"" class=""post-tag"" title=""show questions tagged &#39;hard-drive&#39;"" rel=""tag"">hard-drive</a>, <a href=""/questions/tagged/external-hard-drive"" class=""post-tag"" title=""show questions tagged &#39;external-hard-drive&#39;"" rel=""tag"">external-hard-drive</a>,
<a href=""/questions/tagged/usb-storage"" class=""post-tag"" title=""show questions tagged &#39;usb-storage&#39;"" rel=""tag"">usb-storage</a>, <a href=""/questions/tagged/usb-flash-drive"" class=""post-tag"" title=""show questions tagged &#39;usb-flash-drive&#39;"" rel=""tag"">usb-flash-drive</a>, <a href=""/questions/tagged/sd-card"" class=""post-tag"" title=""show questions tagged &#39;sd-card&#39;"" rel=""tag"">sd-card</a>, <a href=""/questions/tagged/micro-sd-card"" class=""post-tag"" title=""show questions tagged &#39;micro-sd-card&#39;"" rel=""tag"">micro-sd-card</a>,
<a href=""/questions/tagged/nas"" class=""post-tag"" title=""show questions tagged &#39;nas&#39;"" rel=""tag"">nas</a>, <a href=""/questions/tagged/mbr"" class=""post-tag"" title=""show questions tagged &#39;mbr&#39;"" rel=""tag"">mbr</a>, <a href=""/questions/tagged/ntfs"" class=""post-tag"" title=""show questions tagged &#39;ntfs&#39;"" rel=""tag"">ntfs</a>, <a href=""/questions/tagged/mft"" class=""post-tag"" title=""show questions tagged &#39;mft&#39;"" rel=""tag"">mft</a>, <a href=""/questions/tagged/database"" class=""post-tag"" title=""show questions tagged &#39;database&#39;"" rel=""tag"">database</a>,
<a href=""/questions/tagged/formatting"" class=""post-tag"" title=""show questions tagged &#39;formatting&#39;"" rel=""tag"">formatting</a> and <a href=""/questions/tagged/hardware-failure"" class=""post-tag"" title=""show questions tagged &#39;hardware-failure&#39;"" rel=""tag"">hardware-failure</a>
(and, rarely, <a href=""/questions/tagged/optical-drive"" class=""post-tag"" title=""show questions tagged &#39;optical-drive&#39;"" rel=""tag"">optical-drive</a>, <a href=""/questions/tagged/compact-disc"" class=""post-tag"" title=""show questions tagged &#39;compact-disc&#39;"" rel=""tag"">compact-disc</a>, <a href=""/questions/tagged/dvd"" class=""post-tag"" title=""show questions tagged &#39;dvd&#39;"" rel=""tag"">dvd</a>
and <a href=""/questions/tagged/blu-ray"" class=""post-tag"" title=""show questions tagged &#39;blu-ray&#39;"" rel=""tag"">blu-ray</a>).</p>
"
console,"A combination of display monitor and keyboard (or other device that allows input) for system monitoring and administration.
",
time,"Time is an element of the overall measurement system of for space. Time can refer to the time it is now, according to timing devices, the interval between two events, the duration of an event, or the sequence of events. ",
open-source,Software whose source code is made available for use/modification/distribution as users or other developers see fit. Usually developed as a public collaboration and made available free of charge.,
wiki,"A wiki is a CMS for collaborative content creation, typically with a flat content structure and heavy cross-referencing.","<p>A wiki is a type of content-management system designed to let users build content rapidly, typically with thorough cross-referencing. Editing is facilitated by text markup and template-based paging. Wikis are usually intended for collaborative editing, so many applications offer tools such as revision control to enable curation. Most depend on a browser for user interface.</p>
"
thinkpad,"a brand of laptop, originally produced by IBM. The brand is now manufactured and sold by Lenovo.","<p>The ThinkPad is a line of laptop computers originally designed, developed and sold by IBM (1992-2005) but now produced by Lenovo. They are known for their boxy black design, which was modeled after a traditional Japanese Bento lunchbox. Lenovo purchased IBM's personal computer business and acquired the ThinkPad brand in 2005, see <a href=""http://en.wikipedia.org/wiki/ThinkPad"" rel=""nofollow noreferrer"">Wikipedia Thinkpad</a>. </p>

<p>A traditional forum for questions and answers on Thinkpads is found at: <a href=""http://forums.lenovo.com/"" rel=""nofollow noreferrer"">Lenovo Forums</a>. There is also a dedicated wiki about Thinkpads here: <a href=""http://www.thinkwiki.org/wiki/ThinkWiki"" rel=""nofollow noreferrer"">Think wiki</a>. </p>
"
kill,"kill is a UNIX/Linux command to signal a process, by default with a signal to terminate the process. It can also be used to force a process to quit immediately without cleanly exiting or to tell a process to take some action (e.g. to signal a httpd to reread its configuration without restarting).",
shortcuts,"A quick access method of getting to a program or document, typically an icon or picture representing the target",
gtk,"gtk+ stands for Gimp ToolKit, a widget toolkit for GUI applications. Gnome uses gtk+ extensively.",
passwords,"String of characters that allows access to a computer, interface, system or application.","<p>Passwords are strings of characters that grant access to a computer, terminal, interface or application.</p>

<h2>Windows related questions</h2>

<ul>
<li><a href=""http://superuser.com/questions/72244/what-can-i-do-if-i-forgot-my-windows-password"">What can I do if I forget my Windows password?</a></li>
<li><a href=""http://superuser.com/questions/5039/how-can-reset-windows-administrator-password"">Resetting the Windows administrator password</a></li>
<li><a href=""http://superuser.com/questions/21617/turn-off-automatic-login-with-windows-7"">Turning off automatic Windows 7 login</a></li>
<li><a href=""http://superuser.com/questions/88672/make-windows-forget-a-network-connection-password"">Making Windows forget a network connection password</a></li>
</ul>

<h2>Mac OS related questions</h2>

<ul>
<li><a href=""http://superuser.com/questions/70156/hide-users-from-mac-os-x-snow-leopard-logon-screen"">Hiding users from the Mac OS X Snow Leopard logon screen</a></li>
<li><a href=""http://superuser.com/questions/106951/how-do-i-recover-the-password-of-a-rar-file-on-mac-os-x"">Recovering the password of a RAR file</a></li>
<li><a href=""http://superuser.com/questions/134602/how-can-i-read-password-protected-word-files-on-os-x"">Reading password-protected Word files</a></li>
</ul>

<h3><a href=""http://blog.superuser.com/2011/06/27/qotw-if-a-password-is-compromised-are-any-similar-ones/"" rel=""nofollow noreferrer"">If a password is compromised, is a “similar” password also compromised?</a></h3>

<blockquote>
  <p>... The solution to this is called password hashing. A hash function is essentially a complex mathematical formula that is not reversible on practical timescales. If the password hash is stored in the database, then an attacker would not know your password, because they would be unable to reverse the hash, assuming a secure hash was used. ...</p>
</blockquote>

<h3>Applications and password programs</h3>

<ul>
<li><a href=""/questions/tagged/keepass"" class=""post-tag"" title=""show questions tagged &#39;keepass&#39;"" rel=""tag"">keepass</a></li>
<li><a href=""/questions/tagged/lastpass"" class=""post-tag"" title=""show questions tagged &#39;lastpass&#39;"" rel=""tag"">lastpass</a></li>
</ul>

<h3>See also</h3>

<ul>
<li><a href=""/questions/tagged/password-recovery"" class=""post-tag"" title=""show questions tagged &#39;password-recovery&#39;"" rel=""tag"">password-recovery</a></li>
</ul>
"
administrator,"A type of user account on an operating system which will typically allow all functions to be performed to a computer, including (but not limited to) the creation and restriction of user accounts, installing software or drivers, or changing operating system options.",
wmv,"Windows Media Video (WMV) is a generic name for a set of video format developed by Microsoft, the Windows Media. The WMV format using Advanced Systems Format (ASF), also from Microsoft. Such files can be run on media players such as MPlayer, Windows Media Player or Real Player.",
recording,"Recording is the process of capturing data or translating information to a recording format stored on some storage medium, which is often referred to as a record or, especially if an auditory or visual medium, a recording.","<p>Recording is the process of capturing data or translating information to a recording format stored on some storage medium, which is often referred to as a record or, especially if an auditory or visual medium, a recording.</p>
"
appletv,"Apple TV is a tiny entertainment device that plays the content from iTunes, Netflix, Hulu Plus, YouTube, and sports leagues to a TV.",
tags,"Tags are words or phrases used to reference a specific topic, often for searches or other forms of indexing.",
wii,Nintendo Wii is a 7th generation gaming console created for a wider demographic than Xbox 360 or PS3.,
awesomebar,,
profile,,
inkscape,Questions about installing the Inkscape vector-graphics application. Question about using the application should go on Graphic Design. Question about scripting should go on Stack Overflow.,"<p><img src=""https://i.stack.imgur.com/4AeSV.png"" alt=""Inkscape Logo"" title=""Inkscape""></p>

<p><a href=""http://inkscape.org/"" rel=""nofollow noreferrer""><strong>Inkscape</strong></a> is a free, cross-platform software vector graphics editor, licensed under the GNU General Public License.</p>

<p><a href=""http://inkscape.org/"" rel=""nofollow noreferrer"">Inkscape</a> uses <a href=""http://www.w3.org/Graphics/SVG/"" rel=""nofollow noreferrer"">SVG</a> as its native vector format and uses <a href=""http://www.gimp.org/"" rel=""nofollow noreferrer"">GIMPs</a> .gpl file format for palettes. <a href=""http://wiki.inkscape.org/wiki/index.php/Extension_subsystem"" rel=""nofollow noreferrer"">Extensions</a> can be written in C, C++, XSLT, Python, or shell scripts. It has a <a href=""http://inkscape.org/doc/inkscape-man.html"" rel=""nofollow noreferrer"">command-line interface</a> which is useful for processing vector collections such as PDFs.</p>

<p><a href=""http://inkscape.org/"" rel=""nofollow noreferrer"">Inkscape</a> supports many advanced <a href=""http://www.w3.org/Graphics/SVG/"" rel=""nofollow noreferrer"">SVG</a> features (markers, clones, alpha blending, etc.) and great care is taken in designing a streamlined interface. It is very easy to edit nodes, perform complex path operations, trace bitmaps and much more. We also aim to maintain a thriving user and developer community by using open, community-oriented development.</p>

<p>A comprehensive guide to <a href=""http://inkscape.org/"" rel=""nofollow noreferrer"">Inkscape</a> can be found <a href=""http://tavmjong.free.fr/INKSCAPE/"" rel=""nofollow noreferrer"">here</a>.</p>
"
vector-graphics,"Use this tag for general questions about how vector graphics work. Vector graphics are made up of mathematical primitives like points, lines, curves and polygons constructed from these primitives.","<p>Vector graphics are a way of representing images using basic geometric shapes like lines, curves, circles, and polygons. Because these shapes are defined mathematically, they can be scaled up and down infinitely without losing fidelity or readability.</p>

<h2>Related tags</h2>

<ul>
<li><a href=""/questions/tagged/svg"" class=""post-tag"" title=""show questions tagged &#39;svg&#39;"" rel=""tag"">svg</a>: Scalable Vector Graphics, a common file format for vector graphics</li>
<li><a href=""/questions/tagged/adobe-illustrator"" class=""post-tag"" title=""show questions tagged &#39;adobe-illustrator&#39;"" rel=""tag"">adobe-illustrator</a>: Adobe Illustrator, a commercial vector graphics editor</li>
<li><a href=""/questions/tagged/inkscape"" class=""post-tag"" title=""show questions tagged &#39;inkscape&#39;"" rel=""tag"">inkscape</a>: Inkscape, an open-source vector graphics editor</li>
</ul>
"
dell-latitude,The Dell Latitude is a line of business laptops made by Dell.,
authentication,"Authentication is the process of proving your identity to a computer. It differs from authorization, which is the process of granting certain privileges to someone.",
3gp,A multimedia container format for 3G UMTS multimedia services. It is used on 3G mobile phones but can also be played on some 2G and 4G phones.,
microsoft-office,"Application suite from Microsoft which includes always Word, PowerPoint and Excel. Depending on what edition of Microsoft Office you have you can also have OneNote, Outlook, Publisher and Access.  ","<h2>Recent Versions of Microsoft Office</h2>

<ul>
<li><a href=""/questions/tagged/microsoft-office-2003"" class=""post-tag"" title=""show questions tagged &#39;microsoft-office-2003&#39;"" rel=""tag"">microsoft-office-2003</a></li>
<li><a href=""/questions/tagged/microsoft-office-2007"" class=""post-tag"" title=""show questions tagged &#39;microsoft-office-2007&#39;"" rel=""tag"">microsoft-office-2007</a></li>
<li><a href=""/questions/tagged/microsoft-office-2010"" class=""post-tag"" title=""show questions tagged &#39;microsoft-office-2010&#39;"" rel=""tag"">microsoft-office-2010</a></li>
<li><a href=""/questions/tagged/microsoft-office-2013"" class=""post-tag"" title=""show questions tagged &#39;microsoft-office-2013&#39;"" rel=""tag"">microsoft-office-2013</a></li>
<li><a href=""/questions/tagged/microsoft-office-2016"" class=""post-tag"" title=""show questions tagged &#39;microsoft-office-2016&#39;"" rel=""tag"">microsoft-office-2016</a></li>
<li><a href=""/questions/tagged/microsoft-office-2019"" class=""post-tag"" title=""show questions tagged &#39;microsoft-office-2019&#39;"" rel=""tag"">microsoft-office-2019</a></li>
</ul>

<p>In addition to the regular Office versions Microsoft also offers a subscription service called <a href=""/questions/tagged/office365"" class=""post-tag"" title=""show questions tagged &#39;office365&#39;"" rel=""tag"">office365</a>. This service is being regularly updated to the latest Office version.</p>

<p>There are also versions for OS X, generally grouped under <a href=""/questions/tagged/office-for-mac"" class=""post-tag"" title=""show questions tagged &#39;office-for-mac&#39;"" rel=""tag"">office-for-mac</a>, or individually:</p>

<ul>
<li><a href=""/questions/tagged/microsoft-office-2004"" class=""post-tag"" title=""show questions tagged &#39;microsoft-office-2004&#39;"" rel=""tag"">microsoft-office-2004</a></li>
<li><a href=""/questions/tagged/microsoft-office-2008"" class=""post-tag"" title=""show questions tagged &#39;microsoft-office-2008&#39;"" rel=""tag"">microsoft-office-2008</a></li>
<li><a href=""/questions/tagged/microsoft-office-2011"" class=""post-tag"" title=""show questions tagged &#39;microsoft-office-2011&#39;"" rel=""tag"">microsoft-office-2011</a></li>
<li><a href=""/questions/tagged/microsoft-office-2016"" class=""post-tag"" title=""show questions tagged &#39;microsoft-office-2016&#39;"" rel=""tag"">microsoft-office-2016</a></li>
</ul>

<h2>Applications Included in Microsoft Office</h2>

<p>Unless your question pertains to Microsoft Office as a whole or the integration between Microsoft Office programs, it is best to use one of these tags instead:</p>

<ul>
<li><a href=""/questions/tagged/microsoft-word"" class=""post-tag"" title=""show questions tagged &#39;microsoft-word&#39;"" rel=""tag"">microsoft-word</a></li>
<li><a href=""/questions/tagged/microsoft-excel"" class=""post-tag"" title=""show questions tagged &#39;microsoft-excel&#39;"" rel=""tag"">microsoft-excel</a></li>
<li><a href=""/questions/tagged/microsoft-powerpoint"" class=""post-tag"" title=""show questions tagged &#39;microsoft-powerpoint&#39;"" rel=""tag"">microsoft-powerpoint</a></li>
<li><a href=""/questions/tagged/microsoft-onenote"" class=""post-tag"" title=""show questions tagged &#39;microsoft-onenote&#39;"" rel=""tag"">microsoft-onenote</a></li>
<li><a href=""/questions/tagged/microsoft-outlook"" class=""post-tag"" title=""show questions tagged &#39;microsoft-outlook&#39;"" rel=""tag"">microsoft-outlook</a></li>
<li><a href=""/questions/tagged/microsoft-access"" class=""post-tag"" title=""show questions tagged &#39;microsoft-access&#39;"" rel=""tag"">microsoft-access</a></li>
<li><a href=""/questions/tagged/microsoft-infopath"" class=""post-tag"" title=""show questions tagged &#39;microsoft-infopath&#39;"" rel=""tag"">microsoft-infopath</a></li>
<li><a href=""/questions/tagged/microsoft-sharepoint"" class=""post-tag"" title=""show questions tagged &#39;microsoft-sharepoint&#39;"" rel=""tag"">microsoft-sharepoint</a></li>
</ul>

<h2>Alternatives to Microsoft Office</h2>

<ul>
<li><a href=""/questions/tagged/libreoffice"" class=""post-tag"" title=""show questions tagged &#39;libreoffice&#39;"" rel=""tag"">libreoffice</a></li>
<li><a href=""/questions/tagged/openoffice"" class=""post-tag"" title=""show questions tagged &#39;openoffice&#39;"" rel=""tag"">openoffice</a></li>
<li><a href=""/questions/tagged/google-docs"" class=""post-tag"" title=""show questions tagged &#39;google-docs&#39;"" rel=""tag"">google-docs</a></li>
</ul>
"
kodi,"Rebranded name for XBMC (Xbox Media Center) is now Kodi, an open source cross platform HTPC program with a 10-foot user interface.","<p><img src=""https://i.stack.imgur.com/Iba4B.png"" alt=""enter image description here""></p>

<p>Starting with version 14. instead of XBMC 14, <a href=""http://kodi.tv/introducing-kodi-14/"" rel=""nofollow noreferrer"">XBMC was renamed to Kodi 14</a>.</p>

<blockquote>
  <p>XBMC is an award-winning free and open source (GPL) software media
  player and entertainment hub for digital media. XBMC is available for
  Linux, OSX, and Windows. Created in 2003 by a group of like minded
  programmers, XBMC is a non-profit project run and developed by
  volunteers located around the world. More than 50 software developers
  have contributed to XBMC, and 100-plus translators have worked to
  expand its reach, making it available in more than 30 languages.</p>
  
  <p>While XBMC functions very well as a standard media player application
  for your computer, it has been designed to be the perfect companion
  for your HTPC. Supporting an almost endless range of remote controls,
  and combined with its beautiful interface and powerful skinning
  engine, XBMC feels very natural to use from the couch and is the ideal
  solution for your home theater.</p>
  
  <p>Currently XBMC can be used to play almost all popular audio and video
  formats around. It was designed for network playback, so you can
  stream your multimedia from anywhere in the house or directly from the
  internet using practically any protocol available. Use your media
  as-is: XBMC can play CDs and DVDs directly from the disk or image
  file, almost all popular archive formats from your hard drive, and
  even files inside ZIP and RAR archives. It will even scan all of your
  media and automatically create a personalized library complete with
  box covers, descriptions, and fanart. There are playlist and slideshow
  functions, a weather forecast feature and many audio visualizations.
  Once installed, your computer will become a fully functional
  multimedia jukebox.</p>
  
  <p><sub>- From xbmc.org: <em><a href=""http://xbmc.org/about/"" rel=""nofollow noreferrer"">About</a></em></sub></p>
</blockquote>

<h3>Related Super User questions:</h3>

<ul>
<li><a href=""http://superuser.com/questions/213984/does-xbmc-need-an-nfo-file-for-a-tv-show-or-movie-to-be-added-to-those-categories"">Does XBMC need an nfo file for a TV show or Movie to be added to those categories respectively?</a></li>
<li><a href=""http://superuser.com/questions/11096/xbmc-with-mce-or-mediaportal"">XBMC with MCE or MediaPortal</a></li>
<li><a href=""http://superuser.com/questions/8758/how-to-watch-video-podcasts-using-xbmc"">How to watch video podcasts using XBMC</a></li>
</ul>

<h3>Helpful Links:</h3>

<ul>
<li><a href=""http://xbmc.org/"" rel=""nofollow noreferrer"">Main Site</a></li>
<li><a href=""http://wiki.xbmc.org"" rel=""nofollow noreferrer"">Wiki</a></li>
<li><a href=""http://forum.xbmc.org/"" rel=""nofollow noreferrer"">Forum</a></li>
<li><a href=""https://github.com/xbmc"" rel=""nofollow noreferrer"">Github Project</a></li>
<li><a href=""http://wiki.xbmc.org/index.php?title=Frequently_Asked_Questions"" rel=""nofollow noreferrer"">Frequently Ask Questions</a></li>
</ul>
"
utorrent,µTorrent is a popular P2P client.,"<p>µTorrent (often referred to as uTorrent) is a free BitTorrent client focused on being light-weight and portable.  </p>

<p>A peer-to-peer program used for uploading and downloading files via the BitTorrent protocol. Claims to be the world’s most popular for this (though <a href=""http://en.wikipedia.org/wiki/%CE%9CTorrent"" rel=""nofollow noreferrer"">Wikipedia</a> has “the most widely used BitTorrent client outside China”).  </p>

<p>Coded in C++ by Ludvig Strigeus, its first public release (1.1 beta) was September 18, 2005. Microsoft Windows, Mac OS X and Linux versions are available.  Freeware but subsequent to acquisition by BitTorrent, Inc in 2006 a proprietary version also exists (BitTorrent).</p>

<p>“The program has received consistently good reviews for its feature set, performance, stability, and support for older hardware and versions of Windows.” (ibid).</p>

<p>u or the Greek lower case letter mu (as above) are both correct and the pronunciation is optional (eg micro, my, mu) with Ludvig having written “I usually say 'you torrent' because it looks like a u""”.</p>
"
print-to-pdf,,
itunes-store,,
signature,,
regex,"Also known as regular expression or regexp, a description of a set of strings, often used for searching and validating strings.","<p>A <code>regex</code>, also known as a <a href=""http://en.wikipedia.org/wiki/Regular_expression"" rel=""nofollow noreferrer"">regular expression</a> or regexp, is a description of a set of  strings with certain properties. For example, <code>\d{5}</code> matches a series of 5 digits, such as <code>43822</code>.</p>

<p>Use this tag when on the hunt for scripting syntax (in <a href=""/questions/tagged/perl"" class=""post-tag"" title=""show questions tagged &#39;perl&#39;"" rel=""tag"">perl</a>, <a href=""/questions/tagged/python"" class=""post-tag"" title=""show questions tagged &#39;python&#39;"" rel=""tag"">python</a>, <a href=""/questions/tagged/sed"" class=""post-tag"" title=""show questions tagged &#39;sed&#39;"" rel=""tag"">sed</a>, <a href=""/questions/tagged/grep"" class=""post-tag"" title=""show questions tagged &#39;grep&#39;"" rel=""tag"">grep</a>, <a href=""/questions/tagged/awk"" class=""post-tag"" title=""show questions tagged &#39;awk&#39;"" rel=""tag"">awk</a>, etc.) which will match a given set of text.</p>
"
automation,Making a process run completely or in part without the need of any user input once the process is started.,"<p>Automation is usually applied when a large number of similar tasks have to be executed in a row.</p>

<p>Examples of automation are:</p>

<ul>
<li>The processing and validation of user input through a set of rules.</li>
<li>Automatically running system diagnostics every X time.</li>
<li>Looking up information about songs and labelling the MP3 file accordingly.</li>
</ul>

<p>Common utilities used for automation include:</p>

<ul>
<li><a href=""/questions/tagged/bash"" class=""post-tag"" title=""show questions tagged &#39;bash&#39;"" rel=""tag"">bash</a> scripting shell. For unix systems.</li>
<li><a href=""/questions/tagged/autohotkey"" class=""post-tag"" title=""show questions tagged &#39;autohotkey&#39;"" rel=""tag"">autohotkey</a> for Windows systems.</li>
<li><a href=""/questions/tagged/automator"" class=""post-tag"" title=""show questions tagged &#39;automator&#39;"" rel=""tag"">automator</a> for Mac.</li>
</ul>
"
microsoft-outlook-2007,"Outlook 2007 is a version of Microsoft Outlook, released in 2006. It is widely used for email, calendar, contacts, and notes.","<p>Outlook 2007 is included with all versions of <a href=""/questions/tagged/microsoft-office-2007"" class=""post-tag"" title=""show questions tagged &#39;microsoft-office-2007&#39;"" rel=""tag"">microsoft-office-2007</a> except the Home and Student edition.</p>

<h1>New Features</h1>

<p>Outlook's message writing interface now sports the <a href=""/questions/tagged/ribbon"" class=""post-tag"" title=""show questions tagged &#39;ribbon&#39;"" rel=""tag"">ribbon</a> interface. In addition, it added some new functionality, such as RSS feed reading and texting support.</p>
"
technical-writing,,
malware-removal,,
stall,,
provider,,
mini-dv,,
imagemap,,
accessibility,"Features built into software or a device to allow the greatest number of users to operate them, especially features for people with disabilities.  This can also be the extent to which a program or device is accessible.",
on-screen-keyboard,"A keyboard rendered on the screen as a substitute for a physical keyboard, often used for typing on a touchscreen or as an accessibility tool.",
youtube,Go to Web Apps Stack Exchange unless you require heavy integration with a desktop installation.,"<p>YouTube is a video sharing service owned by Google. </p>

<p>Questions about YouTube are only on topic if the use of desktop software is a prominent factor. Such examples include:</p>

<ul>
<li><a href=""http://superuser.com/questions/208208/how-block-youtube-ads-on-google-chrome"">Blocking YouTube ads on Google Chrome</a></li>
<li><a href=""http://superuser.com/questions/19453/extract-audio-from-youtube-video"">Extracting audio from a YouTube clip</a></li>
<li><a href=""http://superuser.com/questions/199703/how-can-i-embed-a-youtube-video-in-onenote"">Embedding a clip into OneNote</a></li>
</ul>

<p>If your question is about how to better use, view or configure something through the YouTube website or player, it belongs on <a href=""http://webapps.stackexchange.com/"">Web Applications</a>.</p>
"
package-management,"Package management is the process of installing, upgrading, configuring, and removing software packages for a computer's operating system in a consistent manner. ","<p>Package management is the process of installing, upgrading, configuring, and removing software packages for a computer's operating system in a consistent manner. It typically uses a database of software dependencies and version information to prevent software mismatches and missing prerequisites and a collection of software tools to automate package deployments.</p>
"
silverlight,"Silverlight is Microsoft's cross-browser, cross platform plug-in for media experiences and rich interactive applications.","<p>Microsoft Silverlight is an application framework for writing and running rich Internet applications with emphasis on multimedia, animations, and graphics, with features and purposes similar to those of Adobe Flash. The run-time environment for Silverlight is available as a plug-in for most web browsers. While early versions of Silverlight focused on streaming media, current versions support multimedia, graphics and animation, and give developers support for CLI languages and development tools.</p>

<p>It is the standard for writing Windows Phone 7 applications and is being promoted for Line of Business (LoB) applications.</p>

<p><strong>Platforms Supported</strong></p>

<ul>
<li>Silverlight 4 for Window (Chrome, Firefox, IE 6-9) &amp; Mac (Firefox, Safari)</li>
<li>Windows Phone 7</li>
</ul>

<p><strong>Links</strong></p>

<ul>
<li><a href=""http://www.microsoft.com/silverlight/"" rel=""nofollow noreferrer"">Microsoft Silverlight</a></li>
<li><a href=""http://silverlight.net"" rel=""nofollow noreferrer"">Silverlight.net</a> Community Site</li>
<li><a href=""http://www.mono-project.com/Moonlight"" rel=""nofollow noreferrer"">Moonlight</a> Open Source Silverlight Implementation</li>
</ul>

<p><strong>Development &amp; Design Tools</strong></p>

<ul>
<li><a href=""http://www.microsoft.com/visualstudio/en-us/"" rel=""nofollow noreferrer"">Microsoft Visual Studio 2010</a> for developers</li>
<li><a href=""http://www.microsoft.com/expression/products/StudioUltimate_Overview.aspx"" rel=""nofollow noreferrer"">Microsoft Expression Blend 4</a> for designers</li>
<li><a href=""http://create.msdn.com/en-us/home/getting_started"" rel=""nofollow noreferrer"">Windows Phone 7 Tools</a> for developers and designers</li>
</ul>
"
clone,"A clone is a replication, or an exact copy, of something.",
migration,"Migration specifies 1) the process of moving information between different data formats or 2) the process of moving an existing user environment to a different system, for example when switching operating systems",
splitter,,
remote,"Using something remotely or remoting into it means using it when one is not at the same location as what one is using. A common example is opening files on another computer, or controlling a computer different from the one that the user is physically using.",
version-control,"Version-control software allows you to keep several versions of a file. Each time the file is changed, a new version is created. Older versions can be retrieved. Related files can be grouped together. Multiple people can edit the same files and their changes can be merged together.",
